product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
اوه سيجنتشر 2 – مسطح بلت-ان – غاز – من يونيون اير – 4 شعلة غاز، ستانليس ستيل، 60 سم – BH5060S8ISOS يونيون اير,5970.0,6567.0,https://unionaire.com/ar/product/%d8%a7%d9%8a-%d9%83%d9%88%d9%83-%d8%a8%d9%88%d8%aa%d8%a7%d8%ac%d8%a7%d8%b2-%d8%a8%d9%84%d8%aa-%d8%a7%d9%86%d8%8c-%d8%ba%d8%a7%d8%b2-%d8%8c-%d9%8a%d9%88%d9%86%d9%8a%d9%88%d9%86-%d8%a7%d9%8a%d8%b1-2/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,gas stove,gas cookers,0.0,Africa/Cairo,Unionaire,unknown,unknown,cleaned,597.0,9.090909090909092,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164310,04:43:10,16:43:10,4,16,43,10,PM,false,true,afternoon,false,true,false,false,false,false,false,false
غسالة ملابس سعة 13 كجم من يونيون اير- UW130TPLA2SL,13695.0,15065.0,https://unionaire.com/ar/product/%d8%ba%d8%b3%d8%a7%d9%84%d8%a9-%d9%85%d9%84%d8%a7%d8%a8%d8%b3-%d9%8a%d9%88%d9%86%d9%8a%d9%88%d9%86-%d8%a7%d9%8a%d8%b1%d8%b3%d8%b9%d8%a9-13-%d9%83%d8%ac%d9%85/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,washing machine,washing machine,0.0,Africa/Cairo,Unionaire,unknown,unknown,cleaned,1370.0,9.093926319283106,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164342,04:43:42,16:43:42,4,16,43,42,PM,false,true,afternoon,false,true,false,false,false,false,false,false
مودرن – فرن استانليس غاز 60 – بلت ان – فرن بشواية – غاز – 70 لتر – BO66S1119DSFMDAL,12399.0,13639.0,https://unionaire.com/ar/product/%d9%85%d9%88%d8%af%d8%b1%d9%86-%d9%81%d8%b1%d9%86-%d8%a7%d8%b3%d9%88%d8%af-%d8%ba%d8%a7%d8%b2-60-%d8%a8%d9%84%d8%aa-%d8%a7%d9%86-%d9%81%d8%b1%d9%86-%d8%a8%d8%b4%d9%88-2/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,gas oven,gas cookers,0.0,Africa/Cairo,Unionaire,unknown,unknown,cleaned,1240.0,9.091575628711784,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164220,04:42:20,16:42:20,4,16,42,20,PM,false,true,afternoon,false,true,false,false,false,false,false,false
بوتجاز غاز اورو سمارت من يونيون اير، 5 شعلة – C6090EBGC511IDSFOROS2WAL,16075.0,17683.0,https://unionaire.com/ar/product/بوتجاز-غاز-اورو-سمارت-من-يونيون-اير،-5-ش/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,gas stove,gas cookers,0.0,Africa/Cairo,Unionaire,unknown,unknown,cleaned,1608.0,9.093479613187808,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164336,04:43:36,16:43:36,4,16,43,36,PM,false,true,afternoon,false,true,false,false,false,false,false,false
تكييف – يونيون اير أرتيفاي 3 حصان- بارد/ساخن ARTIFY 024_HR – S,38999.0,42899.0,https://unionaire.com/ar/product/تكييف-يونيون-اير-أرتيفاي-برو-3-حصان-با-2/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,air conditioner,تكييفات,0.0,Africa/Cairo,Unionaire,unknown,unknown,cleaned,3900.0,9.091121005151635,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164243,04:42:43,16:42:43,4,16,42,43,PM,false,true,afternoon,false,true,false,false,false,false,false,false
ثلاجة – 370 لتر– نوفروست – من يونيون اير – ديجيتال – URN440LBG1ADTHRBSM,17238.0,18962.0,https://unionaire.com/ar/product/ثلاجة-350-لتر-نوفروست-من-يونيون-اير-3/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,refrigerator,refrigerator,0.0,Africa/Cairo,Unionaire,unknown,440L,cleaned,1724.0,9.091867946419153,1,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164149,04:41:49,16:41:49,4,16,41,49,PM,false,true,afternoon,false,true,false,false,false,false,false,false
ثلاجة – 420 لتر– نوفروست – من يونيون اير – ديجيتال – URN600CEPBLG1ADTXHRLM,22400.0,24640.0,https://unionaire.com/ar/product/ثلاجة-420-لتر-نوفروست-من-يونيون-اير-13/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,refrigerator,refrigerator,0.0,Africa/Cairo,Unionaire,unknown,unknown,cleaned,2240.0,9.090909090909092,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164124,04:41:24,16:41:24,4,16,41,24,PM,false,true,afternoon,false,true,false,false,false,false,false,false
ثلاجة – 440 لتر– نوفروست – من يونيون اير – ديجيتال – URN600LBG1ADTHRI,21500.0,23650.0,https://unionaire.com/ar/product/ثلاجة-440-لتر-نوفروست-من-يونيون-اير-3/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,refrigerator,refrigerator,0.0,Africa/Cairo,Unionaire,unknown,600L,cleaned,2150.0,9.090909090909092,1,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164353,04:43:53,16:43:53,4,16,43,53,PM,false,true,afternoon,false,true,false,false,false,false,false,false
ثلاجة – 505 لتر– نوفروست – من يونيون اير – ديجيتال – URN700CEPBLG1ADXHRBXL,28400.0,31240.0,https://unionaire.com/ar/product/ثلاجة-505-لتر-نوفروست-من-يونيون-اير-2/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,refrigerator,refrigerator,0.0,Africa/Cairo,Unionaire,unknown,unknown,cleaned,2840.0,9.090909090909092,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164209,04:42:09,16:42:09,4,16,42,9,PM,false,true,afternoon,false,true,false,false,false,false,false,false
ثلاجة – 420 لتر– نوفروست – من يونيون اير – ديجيتال – URN600CEPBLG1ADXHRBWLS,25908.0,28499.0,https://unionaire.com/ar/product/ثلاجة-505-لتر-نوفروست-من-يونيون-اير-5/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,refrigerator,refrigerator,0.0,Africa/Cairo,Unionaire,unknown,unknown,cleaned,2591.0,9.091547071827081,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164417,04:44:17,16:44:17,4,16,44,17,PM,false,true,afternoon,false,true,false,false,false,false,false,false
جوستو – ثلاجة – 350 لتر– دي فروست – من يونيون اير – ديجيتال – لون اسود – RD350BBDVGSGHUSTO,13400.0,14740.0,https://unionaire.com/ar/product/جوستو-ثلاجة-350-لتر-دي-فروست-من-يوني/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,refrigerator,refrigerator,0.0,Africa/Cairo,Unionaire,unknown,unknown,cleaned,1340.0,9.090909090909092,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164259,04:42:59,16:42:59,4,16,42,59,PM,false,true,afternoon,false,true,false,false,false,false,false,false
جوستو – ثلاجة – 380 لتر– دي فروست – من يونيون اير – ديجيتال – لون اسود – RD380BBDVGSGHUSTO,14400.0,15840.0,https://unionaire.com/ar/product/جوستو-ثلاجة-380-لتر-دي-فروست-من-يوني/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,refrigerator,refrigerator,0.0,Africa/Cairo,Unionaire,unknown,unknown,cleaned,1440.0,9.090909090909092,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164305,04:43:05,16:43:05,4,16,43,5,PM,false,true,afternoon,false,true,false,false,false,false,false,false
ديب فريزر راسي 5 درج نوفروست ديجيتال من يونيون اير 205 لتر – سيلفر – UFN205LBLVADH,16015.0,17617.0,https://unionaire.com/ar/product/ديب-فريزر-راسي-5-درج-نوفروست-ديجيتال-من-2/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,freezer,deep freezer,0.0,Africa/Cairo,Unionaire,unknown,205L,cleaned,1602.0,9.093489243344496,1,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164111,04:41:11,16:41:11,4,16,41,11,PM,false,true,afternoon,false,true,false,false,false,false,false,false
ديب فريزر راسي 5 درج نوفروست ديجيتال من يونيون اير 205 لتر –UFN205LBLBADTH,15198.0,16718.0,https://unionaire.com/ar/product/ديب-فريزر-راسي-5-درج-نوفروست-ديجيتال-من-3/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,freezer,deep freezer,0.0,Africa/Cairo,Unionaire,unknown,205L,cleaned,1520.0,9.091996650317023,1,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164159,04:41:59,16:41:59,4,16,41,59,PM,false,true,afternoon,false,true,false,false,false,false,false,false
ديب فريزر راسي 7 درج نوفروست ديجيتال من يونيون اير 355 لتر – UFN355LBLBHADXSMI,24000.0,26400.0,https://unionaire.com/ar/product/ديب-فريزر-راسي-6-درج-نوفروست-ديجيتال-من-6/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,freezer,deep freezer,0.0,Africa/Cairo,Unionaire,unknown,355L,cleaned,2400.0,9.090909090909092,1,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164425,04:44:25,16:44:25,4,16,44,25,PM,false,true,afternoon,false,true,false,false,false,false,false,false
سخان مياة كهرباء يونيون اير، 55 لتر، EWH55C100VP3 – ابيض,2850.0,3135.0,https://unionaire.com/ar/product/سخان-مياة-كهرباء-يونيون-اير،-55-لتر،-ewh55c100vp3-ا/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,electric water heater,water heater,0.0,Africa/Cairo,Unionaire,unknown,unknown,cleaned,285.0,9.090909090909092,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164254,04:42:54,16:42:54,4,16,42,54,PM,false,true,afternoon,false,true,false,false,false,false,false,false
سخان مياه كهرباء من يونيون اير ، 50 لتر- – EWH50C150VPR3,3150.0,3465.0,https://unionaire.com/ar/product/سخان-مياه-كهرباء-سيجنتشر-من-يونيون-اير-2/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,electric water heater,water heater,0.0,Africa/Cairo,Unionaire,unknown,unknown,cleaned,315.0,9.090909090909092,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164226,04:42:26,16:42:26,4,16,42,26,PM,false,true,afternoon,false,true,false,false,false,false,false,false
سخان مياه كهرباء اي هيت من يونيون اير ، 30 لتر- – EWH30C100VP3,2629.0,2629.0,https://unionaire.com/ar/product/سخان-مياه-كهرباء-يونيون-اير-،-30-لتر-ewh30c100vp3/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,electric water heater,water heater,0.0,Africa/Cairo,Unionaire,unknown,unknown,cleaned,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164130,04:41:30,16:41:30,4,16,41,30,PM,false,true,afternoon,false,true,false,false,false,false,false,false
غسالة ملابس دايموند درام تاتش سعة 10 كجم من يونيون اير – UW100TPLB2MBK,14399.0,15839.0,https://unionaire.com/ar/product/غسالة-ملابس-يونيون-ايردايموند-درام-تا/,https://unionaire.com/wp-content/uploads/2021/05/Uni-LOGO2x.png,1,washing machine,غسالات,0.0,Africa/Cairo,Unionaire,unknown,unknown,cleaned,1440.0,9.091483048172233,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,164401,04:44:01,16:44:01,4,16,44,1,PM,false,true,afternoon,false,true,false,false,false,false,false,false
